Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_AdRank,Yahoo!_AdRank
2018/2/6,06_外貨預金,SP,AT,GDN,-,-,59,1,,\54,,
2018/2/6,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,293,1,,\145,,
2018/2/6,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,"2,733",2,,\290,,
2018/2/6,06_外貨預金,PC,AT,GDN,-,-,22,0,,\0,,
2018/2/6,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,"17,502",14,,"\1,494",,
2018/2/6,03_口座開設一般,SP,Listing,Yahoo!,,,6,0,,\0,,1.8
2018/2/6,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,234,0,,\0,,
2018/2/6,03_口座開設一般,SP,Listing,Yahoo!,-,-,"3,933",12,,"\2,610",,2.3
2018/2/6,03_口座開設一般,PC,Listing,Yahoo!,,,15,0,,\0,,2.8
2018/2/6,03_口座開設一般,PC,Listing,Yahoo!,-,-,"6,009",49,,"\15,154",,2.93
2018/2/6,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,"1,000",0,,\0,,
2018/2/6,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,"1,454",0,,\0,,
2018/2/6,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,61,0,,\0,,
2018/2/6,02_指名関連,PC,Listing,Google,-,-,786,34,,"\11,386",1.91,
2018/2/6,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,"1,357",0,,\0,,
2018/2/6,02_指名関連,SP,Listing,Google,,,"6,047",182,7,"\64,462",2.18,
2018/2/6,02_指名関連,SP,Listing,Google,-,-,"10,493",231,5,"\130,397",1.95,
2018/2/6,06_外貨預金,PC,RT,GDN,S3.口座開設詳細離脱,-,361,0,,\0,,
2018/2/6,06_外貨預金,SP,RT,GDN,S3.口座開設詳細離脱,-,"1,611",3,,\374,,
2018/2/6,02_指名関連,PC,Listing,Google,,,"2,330",61,,"\12,794",1.97,
2018/2/6,06_外貨預金,SP,RT,GDN,S4.申込フォーム離脱_STEP2,-,744,1,,\394,,
2018/2/6,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,4日～7日,"6,659",1,,\108,,
2018/2/6,05_海外への送金,SP,Listing,Google,,,66,4,,"\1,537",2.1,
2018/2/6,05_海外への送金,SP,Listing,Google,-,-,"1,250",33,,"\11,264",1.72,
2018/2/6,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,4日～7日,"1,839",2,,\314,,
2018/2/6,05_海外への送金,PC,Listing,Google,-,-,974,24,,"\11,375",1.8,
