Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_position,Yahoo!_Position
11-Dec-17,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,2306,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,SP,RT,GDN,S4.申込フォーム離脱,-,836,1,,1132,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,186,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,341,2,,193,NaN,NaN
11-Dec-17,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,563,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,410,0,,0,NaN,NaN
11-Dec-17,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,2394,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,GDN,S4.申込フォーム離脱,-,438,0,,0,NaN,NaN
11-Dec-17,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,659,3,,241,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,660,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,243,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,51,0,,0,NaN,NaN
11-Dec-17,,,,,,,,,,,NaN,NaN
11-Dec-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,10,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,1437,2,,827,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,11,0,,0,NaN,NaN
11-Dec-17,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,285,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,91,0,,13,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,44,0,,11,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,235,0,,62,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,1662,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,189,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,10,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,20,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,162,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,42,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,702,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,597,0,,0,NaN,NaN
11-Dec-17,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,159,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,254,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,209,0,,190,NaN,NaN
11-Dec-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,28,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,130,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,255,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,635,6,,568,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,67,0,,19,NaN,NaN
11-Dec-17,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,318,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,AT,Y!JAX,流出ターゲティング,-,2130,6,,1726,NaN,NaN
11-Dec-17,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,153,1,,125,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,1850,5,,1781,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,1478,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,92,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,325,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,1095,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,1711,1,,110,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,401,0,,0,NaN,NaN
11-Dec-17,04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,133,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,AT,GDN,-,-,7486,11,,833,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,14,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,312,0,,83,NaN,NaN
11-Dec-17,04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,163,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,41,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,493,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,766,0,,685,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,31,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,AT,GDN,-,-,5773,13,,536,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,4日～7日,50,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,44,0,,0,NaN,NaN
11-Dec-17,04_海外での利用,PC,RT,GDN,S4.申込フォーム離脱,-,13913,5,,1968,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,4421,4,,280,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,379,2,,96,NaN,NaN
11-Dec-17,01_指名,PC,Listing,Yahoo!,-,-,1700,93,2,3230,NaN,1.02
11-Dec-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,136,0,,0,NaN,NaN
11-Dec-17,04_海外での利用,SP,RT,GDN,S4.申込フォーム離脱,-,16307,20,,5332,NaN,NaN
11-Dec-17,03_口座開設一般,SP,RT,GDN,S3.口座開設詳細離脱,-,2697,4,,521,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,1370,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,74,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,216,0,,0,NaN,NaN
