Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_position,Yahoo!_Position
30-Nov-17,01_指名,SP,Listing,Google,-,-,1264,121,1,8873,1.02,NaN
30-Nov-17,06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,1077,1,,1016,NaN,NaN
30-Nov-17,04_海外での利用,SP,Listing,Yahoo!,-,-,44210,65,,39148,NaN,2.32
30-Nov-17,04_海外での利用,SP,RT,GDN,S3.口座開設詳細離脱,-,41267,65,,11668,NaN,NaN
30-Nov-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,59,0,,0,NaN,NaN
30-Nov-17,01_指名,PC,Listing,Google,-,-,1888,150,,16898,1.02,NaN
30-Nov-17,00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,144,0,,0,NaN,NaN
30-Nov-17,01_指名,PC,Listing,Google,,,27,2,,296,1.04,NaN
30-Nov-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,10,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,467,0,,0,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,125,1,,326,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,617,2,,592,NaN,NaN
30-Nov-17,00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,100,0,,0,NaN,NaN
30-Nov-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,22,0,,0,NaN,NaN
30-Nov-17,02_指名関連,SP,Listing,Yahoo!,-,-,29457,55,,20906,NaN,1.62
30-Nov-17,03_口座開設一般,PC,RT,GDN,S3.口座開設詳細離脱,-,14910,12,,2207,NaN,NaN
30-Nov-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,62,0,,0,NaN,NaN
30-Nov-17,02_指名関連,PC,Listing,Yahoo!,-,-,39021,127,1,54949,NaN,1.78
30-Nov-17,00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,552,2,,533,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,351,0,,387,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,145,0,,123,NaN,NaN
30-Nov-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,53,0,,0,NaN,NaN
30-Nov-17,,PC,,YDN,,,4039,2,,956,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,397,1,,478,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,1226,2,,1090,NaN,NaN
30-Nov-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,24,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,18,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,172,0,,0,NaN,NaN
30-Nov-17,05_海外への送金,SP,Listing,Yahoo!,-,-,852,14,,8042,NaN,1.07
30-Nov-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,247,0,,0,NaN,NaN
30-Nov-17,05_海外への送金,PC,Listing,Yahoo!,-,-,1484,23,,11706,NaN,1.06
30-Nov-17,00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,238,0,,0,NaN,NaN
30-Nov-17,06_外貨預金,SP,AT,YDN,-,-,228433,86,,26209,NaN,NaN
30-Nov-17,,SP,Listing,Google,,,,,,,NaN,NaN
30-Nov-17,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,170,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,4日～7日,72,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,4日～7日,33,1,,643,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,204,1,,254,NaN,NaN
30-Nov-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,51,0,,0,NaN,NaN
30-Nov-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,9,0,,0,NaN,NaN
30-Nov-17,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,258,0,,0,NaN,NaN
30-Nov-17,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,762,1,,92,NaN,NaN
30-Nov-17,06_外貨預金,SP,RT,GDN,S4.申込フォーム離脱,-,1050,3,,656,NaN,NaN
30-Nov-17,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,274,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,88,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,289,0,,0,NaN,NaN
30-Nov-17,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,623,0,,0,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,87,0,,0,NaN,NaN
30-Nov-17,04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,42,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,8,0,,0,NaN,NaN
30-Nov-17,03_口座開設一般,SP,RT,GDN,S3.口座開設詳細離脱,-,21386,29,,5440,NaN,NaN
30-Nov-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,1230,2,,126,NaN,NaN
30-Nov-17,04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,21,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,16,0,,0,NaN,NaN
30-Nov-17,,PC,Listing,Google,,,,,,,NaN,NaN
30-Nov-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,31,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,116,0,,0,NaN,NaN
30-Nov-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,68,0,,0,NaN,NaN
30-Nov-17,06_外貨預金,PC,AT,Y!JAX,流出ターゲティング,-,2455,3,,2315,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,24,0,,0,NaN,NaN
30-Nov-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,17,1,,106,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,20,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,105,0,,89,NaN,NaN
30-Nov-17,01_指名,SP,Listing,Y!PSD,-,-,251,1,,8333,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,302,2,,329,NaN,NaN
30-Nov-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,22,0,,0,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,1014,6,,1095,NaN,NaN
30-Nov-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,132,0,,0,NaN,NaN
30-Nov-17,01_指名,PC,Listing,Y!PSD,-,-,665,13,,8333,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,GDN,S4.申込フォーム離脱,-,200,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,333,1,,355,NaN,NaN
30-Nov-17,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,1414,1,,132,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,869,0,,876,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,160,0,,0,NaN,NaN
30-Nov-17,04_海外での利用,PC,AT,GDN,-,-,34576,41,,6953,NaN,NaN
30-Nov-17,03_口座開設一般,SP,AT,GDN,-,-,4362,7,,751,NaN,NaN
30-Nov-17,00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,53,0,,0,NaN,NaN
30-Nov-17,04_海外での利用,SP,AT,GDN,-,-,22589,11,,1415,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,15,0,,0,NaN,NaN
30-Nov-17,03_口座開設一般,PC,AT,GDN,-,-,5705,10,,1488,NaN,NaN
30-Nov-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,116,0,,0,NaN,NaN
30-Nov-17,04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,111,0,,0,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,79,0,,0,NaN,NaN
30-Nov-17,04_海外での利用,PC,RT,GDN,S4.申込フォーム離脱,-,19552,18,,8590,NaN,NaN
30-Nov-17,00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,132,0,,0,NaN,NaN
30-Nov-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,18,0,,0,NaN,NaN
30-Nov-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,162,0,,0,NaN,NaN
30-Nov-17,04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,55,1,,134,NaN,NaN
30-Nov-17,00_手数料無料,SP,RT,GDN,S3.口座開設詳細離脱,-,3589,5,,886,NaN,NaN
30-Nov-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,48,0,,0,NaN,NaN
30-Nov-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,150,0,,0,NaN,NaN
30-Nov-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,43,0,,0,NaN,NaN
30-Nov-17,00_手数料無料,PC,RT,GDN,S3.口座開設詳細離脱,-,954,3,,761,NaN,NaN
30-Nov-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,18,0,,0,NaN,NaN
30-Nov-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,4,0,,0,NaN,NaN
30-Nov-17,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,144,1,,82,NaN,NaN
30-Nov-17,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,365,0,,0,NaN,NaN
30-Nov-17,04_海外での利用,SP,RT,GDN,S4.申込フォーム離脱,-,17946,16,,5023,NaN,NaN
29-Nov-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,9,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,PC,Listing,Yahoo!,-,-,27037,243,2,68250,NaN,2.27
29-Nov-17,03_口座開設一般,PC,AT,GDN,-,-,6297,2,,287,NaN,NaN
29-Nov-17,03_口座開設一般,SP,AT,GDN,-,-,7449,5,,551,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,668,3,,717,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,62,0,,53,NaN,NaN
29-Nov-17,04_海外での利用,SP,Listing,Google,-,-,6161,77,,34615,2.49,NaN
29-Nov-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,355,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,47,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,534,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,1178,2,,1231,NaN,NaN
29-Nov-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,48,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,PC,Listing,Google,-,-,6358,44,,26065,2.99,NaN
29-Nov-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,106,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,115,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,SP,RT,GDN,S3.口座開設詳細離脱,-,3626,4,,570,NaN,NaN
29-Nov-17,04_海外での利用,SP,AT,YDN,-,-,1052164,929,,279893,NaN,NaN
29-Nov-17,,,,,,,,,,,NaN,NaN
29-Nov-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,82,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,34,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,SP,Listing,Yahoo!,-,-,29161,192,,61930,NaN,1.62
29-Nov-17,00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,111,0,,93,NaN,NaN
29-Nov-17,04_海外での利用,PC,RT,GDN,S4.申込フォーム離脱,-,18118,16,,7133,NaN,NaN
29-Nov-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,210,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,46,1,,522,NaN,NaN
29-Nov-17,04_海外での利用,SP,RT,GDN,S4.申込フォーム離脱,-,19012,25,,7206,NaN,NaN
29-Nov-17,01_指名,PC,Listing,Yahoo!,-,-,1514,84,1,5665,NaN,1.01
29-Nov-17,00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,1日～3日,33,0,,0,NaN,NaN
29-Nov-17,05_海外への送金,SP,Listing,Yahoo!,-,-,959,23,,13378,NaN,1.05
29-Nov-17,00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,1日～3日,25,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,GDN,S3.口座開設詳細離脱,-,824,1,,104,NaN,NaN
29-Nov-17,04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,67,1,,868,NaN,NaN
29-Nov-17,06_外貨預金,SP,AT,GDN,-,-,762,0,,0,NaN,NaN
29-Nov-17,05_海外への送金,PC,Listing,Yahoo!,-,-,1789,24,,10398,NaN,1.08
29-Nov-17,00_手数料無料,PC,RT,GDN,S4.申込フォーム離脱,-,879,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,165,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,1110,3,,1055,NaN,NaN
29-Nov-17,06_外貨預金,PC,AT,GDN,-,-,193,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,40,0,,0,NaN,NaN
29-Nov-17,01_指名,SP,Listing,Yahoo!,-,-,561,22,,1158,NaN,1
29-Nov-17,00_手数料無料,SP,RT,GDN,S4.申込フォーム離脱,-,2320,5,,2573,NaN,NaN
29-Nov-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,26,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,114,0,,96,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,13,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,SP,RT,GDN,S3.口座開設詳細離脱,-,21983,16,,3325,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,8日～15日,50,1,,172,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,758,4,,693,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,8日～15日,135,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,31日～90日,109,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,SP,AT,YDN,-,-,514903,386,,121451,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,31日～90日,293,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,483,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,50,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,46,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,39,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,254,1,,503,NaN,NaN
29-Nov-17,04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,46,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,16,0,,14,NaN,NaN
29-Nov-17,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,146,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,81,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,11,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,326,1,,204,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,160,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,16,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,106,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,47,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,PC,RT,GDN,S3.口座開設詳細離脱,-,13617,15,,2616,NaN,NaN
29-Nov-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,29,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,63,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,48,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,1143,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,103,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,222,0,,0,NaN,NaN
29-Nov-17,,PC,Listing,Google,,,,,,,NaN,NaN
29-Nov-17,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,721,1,,133,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,22,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,29,0,,0,NaN,NaN
29-Nov-17,,SP,Listing,Google,,,,,,,NaN,NaN
29-Nov-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,135,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,37,1,,433,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,295,2,,150,NaN,NaN
29-Nov-17,,PC,Listing,Yahoo!,,,,,,,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,166,0,,0,NaN,NaN
29-Nov-17,,PC,,YDN,,,4246,2,,920,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,693,0,,656,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,35,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,105,0,,86,NaN,NaN
29-Nov-17,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,257,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,883,1,,905,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,4日～7日,50,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,4日～7日,20,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,211,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,26,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,PC,Listing,Google,-,-,5326,110,1,50879,1.82,NaN
29-Nov-17,03_口座開設一般,PC,Listing,Google,,,520,10,,5180,2.46,NaN
29-Nov-17,04_海外での利用,PC,AT,GDN,-,-,36284,55,,8309,NaN,NaN
29-Nov-17,01_指名,SP,Listing,Y!PSD,-,-,243,6,,8333,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,32,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,193,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,PC,Listing,Yahoo!,-,-,39565,48,,27470,NaN,3.57
29-Nov-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,185,0,,0,NaN,NaN
29-Nov-17,01_指名,PC,Listing,Y!PSD,-,-,504,9,,8333,NaN,NaN
29-Nov-17,06_外貨預金,PC,AT,Y!JAX,流出ターゲティング,-,10769,13,,9010,NaN,NaN
29-Nov-17,03_口座開設一般,SP,Listing,Google,-,-,14395,542,6,238458,1.49,NaN
29-Nov-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,16,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,SP,AT,GDN,-,-,21538,17,,1946,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,141,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,GDN,S4.申込フォーム離脱,-,152,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,29,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,390,1,,50,NaN,NaN
29-Nov-17,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,104,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,11,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,1418,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,61,0,,51,NaN,NaN
29-Nov-17,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,595,1,,92,NaN,NaN
29-Nov-17,06_外貨預金,SP,RT,GDN,S4.申込フォーム離脱,-,1065,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,330,0,,0,NaN,NaN
29-Nov-17,04_海外での利用,SP,Listing,Yahoo!,-,-,35601,64,,34716,NaN,2.31
29-Nov-17,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,204,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,1063,6,,1093,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,289,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,254,1,,286,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,48,1,,40,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,524,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,1172,1,,38,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,122,0,,0,NaN,NaN
29-Nov-17,01_指名,SP,Listing,Google,-,-,1229,139,2,9284,1,NaN
29-Nov-17,01_指名,PC,Listing,Google,,,25,1,,144,1,NaN
29-Nov-17,01_指名,PC,Listing,Google,-,-,1732,142,2,15746,1.01,NaN
29-Nov-17,05_海外への送金,PC,Listing,Google,,,33,1,,614,1.28,NaN
29-Nov-17,00_手数料無料,PC,RT,GDN,S3.口座開設詳細離脱,-,890,1,,156,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,92,0,,77,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,3,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,273,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,62,0,,0,NaN,NaN
29-Nov-17,00_手数料無料,SP,RT,GDN,S3.口座開設詳細離脱,-,3605,6,,1138,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,21,0,,17,NaN,NaN
29-Nov-17,05_海外への送金,SP,Listing,Google,-,-,1626,76,,37440,1.1,NaN
29-Nov-17,00_手数料無料,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,1,0,,1,NaN,NaN
29-Nov-17,05_海外への送金,PC,Listing,Google,-,-,1913,58,,41886,1.09,NaN
29-Nov-17,04_海外での利用,PC,RT,GDN,S3.口座開設詳細離脱,-,32636,45,,8398,NaN,NaN
29-Nov-17,00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,4日～7日,171,0,,0,NaN,NaN
29-Nov-17,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,223,0,,0,NaN,NaN
29-Nov-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,35,0,,0,NaN,NaN
