Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_AdRank,Yahoo!_AdRank
2018/2/6,03_口座開設一般,PC,RT,GDN,S5.申込フォーム離脱_STEP3,-,66 ,0 ,,0 ,,
2018/2/6,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,758 ,0 ,,0 ,,
2018/2/6,03_口座開設一般,SP,RT,GDN,S5.申込フォーム離脱_STEP3,-,15 ,0 ,,0 ,,
2018/2/6,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,18 ,0 ,,0 ,,
2018/2/6,06_外貨預金,SP,AT,GDN,-,-,59 ,1 ,,54 ,,
2018/2/6,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,293 ,1 ,,145 ,,
2018/2/6,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,2733 ,2 ,,290 ,,
2018/2/6,06_外貨預金,PC,AT,GDN,-,-,22 ,0 ,,0 ,,
2018/2/6,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,17502 ,14 ,,1494 ,,
2018/2/6,03_口座開設一般,SP,Listing,Yahoo!,,,6 ,0 ,,0 ,,2 
2018/2/6,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,234 ,0 ,,0 ,,
2018/2/6,03_口座開設一般,SP,Listing,Yahoo!,-,-,3933 ,12 ,,2610 ,,2 
2018/2/6,03_口座開設一般,PC,Listing,Yahoo!,,,15 ,0 ,,0 ,,3 
2018/2/6,03_口座開設一般,PC,Listing,Yahoo!,-,-,6009 ,49 ,,15154 ,,3 
2018/2/6,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,1000 ,0 ,,0 ,,
2018/2/6,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,1454 ,0 ,,0 ,,
2018/2/6,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,61 ,0 ,,0 ,,
2018/2/6,02_指名関連,PC,Listing,Google,-,-,786 ,34 ,,11386 ,2 ,
2018/2/6,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,1357 ,0 ,,0 ,,
2018/2/6,02_指名関連,SP,Listing,Google,,,6047 ,182 ,7 ,64462 ,2 ,
2018/2/6,02_指名関連,SP,Listing,Google,-,-,10493 ,231 ,5 ,130397 ,2 ,
2018/2/6,06_外貨預金,PC,RT,GDN,S3.口座開設詳細離脱,-,361 ,0 ,,0 ,,
2018/2/6,06_外貨預金,SP,RT,GDN,S3.口座開設詳細離脱,-,1611 ,3 ,,374 ,,
2018/2/6,02_指名関連,PC,Listing,Google,,,2330 ,61 ,,12794 ,2 ,
2018/2/6,06_外貨預金,SP,RT,GDN,S4.申込フォーム離脱_STEP2,-,744 ,1 ,,394 ,,
2018/2/6,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,4日～7日,6659 ,1 ,,108 ,,
2018/2/6,05_海外への送金,SP,Listing,Google,,,66 ,4 ,,1537 ,2 ,
2018/2/6,05_海外への送金,SP,Listing,Google,-,-,1250 ,33 ,,11264 ,2 ,
2018/2/6,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,4日～7日,1839 ,2 ,,314 ,,
2018/2/6,05_海外への送金,PC,Listing,Google,-,-,974 ,24 ,,11375 ,2 ,
2018/2/6,05_海外への送金,PC,Listing,Google,,,9 ,0 ,,0 ,2 ,
2018/2/6,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,68 ,0 ,,0 ,,
2018/2/6,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,9 ,0 ,,0 ,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,57 ,0 ,,0 ,,
2018/2/6,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,777 ,0 ,,0 ,,
2018/2/6,06_外貨預金,PC,RT,GDN,S4.申込フォーム離脱_STEP2,-,710 ,1 ,,566 ,,
2018/2/6,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,4543 ,4 ,,512 ,,
2018/2/6,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,16636 ,2 ,,264 ,,
2018/2/6,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,161 ,0 ,,0 ,,
2018/2/6,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,1502 ,0 ,,0 ,,
2018/2/6,04_海外での利用,SP,RT,GDN,S5.申込フォーム離脱_STEP3,-,26 ,0 ,,0 ,,
2018/2/6,04_海外での利用,PC,RT,GDN,S5.申込フォーム離脱_STEP3,-,135 ,0 ,,0 ,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,1日,10168 ,5 ,,575 ,,
2018/2/6,02_指名関連,SP,Listing,Yahoo!,-,-,1860 ,20 ,,4298 ,,2 
2018/2/6,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,378 ,1 ,,19 ,,
