Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Day,Impressions,Clicks,CV,Media Cost Margin
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,2017/12/11,243,0,,0
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,2017/12/11,51,0,,0
03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/11,10,0,,0
00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,2017/12/11,1437,2,,827
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,2017/12/11,11,0,,0
04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,2017/12/11,285,0,,0
03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,2017/12/11,91,0,,13
03_口座開設一般,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,2017/12/11,44,0,,11
03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,2017/12/11,235,0,,62
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,2017/12/11,1662,0,,0
00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,2017/12/11,189,0,,0
03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/11,10,0,,0
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,2017/12/11,20,0,,0
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,2017/12/11,162,0,,0
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,2017/12/11,42,0,,0
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,2017/12/11,702,0,,0
00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,2017/12/11,597,0,,0
04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,2017/12/11,159,0,,0
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,2017/12/11,254,0,,0
06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,2017/12/11,209,0,,190
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/11,28,0,,0
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/11,130,0,,0
00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,2017/12/11,255,0,,0
00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,2017/12/11,635,6,,568
03_口座開設一般,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,2017/12/11,67,0,,19
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,2017/12/11,318,0,,0
00_手数料無料,PC,AT,Y!JAX,流出ターゲティング,-,2017/12/11,2130,6,,1726
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/11,153,1,,125
06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,2017/12/11,1850,5,,1781
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,2017/12/11,1478,0,,0
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,2017/12/11,92,0,,0
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/11,325,0,,0
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,2017/12/11,1095,0,,0
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,2017/12/11,1711,1,,110
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,2017/12/11,401,0,,0
04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,2017/12/11,133,0,,0
00_手数料無料,PC,AT,GDN,-,-,2017/12/11,7486,11,,833
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,2017/12/11,14,0,,0
03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,2017/12/11,312,0,,83
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,2017/12/11,163,0,,0
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/11,41,0,,0
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,2017/12/11,493,0,,0
06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,2017/12/11,766,0,,685
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/11,31,0,,0
00_手数料無料,SP,AT,GDN,-,-,2017/12/11,5773,13,,536
00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,4日～7日,2017/12/11,50,0,,0
03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,2017/12/11,44,0,,0
04_海外での利用,PC,RT,GDN,S4.申込フォーム離脱,-,2017/12/11,13913,5,,1968
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,2017/12/11,4421,4,,280
03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,2017/12/11,379,2,,96
01_指名,PC,Listing,Yahoo!,-,-,2017/12/11,1700,93,2,3230
03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,2017/12/11,136,0,,0
04_海外での利用,SP,RT,GDN,S4.申込フォーム離脱,-,2017/12/11,16307,20,,5332
03_口座開設一般,SP,RT,GDN,S3.口座開設詳細離脱,-,2017/12/11,2697,4,,521
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,2017/12/11,1370,0,,0
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,2017/12/11,74,0,,0
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,2017/12/11,216,0,,0
02_指名関連,PC,Listing,Yahoo!,-,-,2017/12/11,32833,63,,21179
00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,2017/12/11,520,2,,287
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,2017/12/11,460,0,,0
02_指名関連,SP,Listing,Yahoo!,-,-,2017/12/11,27745,39,,10686
02_指名関連,SP,Listing,Yahoo!,,,2017/12/11,2754,3,,217
00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,2017/12/11,429,1,,283
06_外貨預金,SP,RT,GDN,S3.口座開設詳細離脱,-,2017/12/11,4196,8,,841
01_指名,SP,Listing,Yahoo!,-,-,2017/12/11,566,18,,2220
06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,2017/12/11,187,3,,174
03_口座開設一般,PC,RT,GDN,S3.口座開設詳細離脱,-,2017/12/11,1214,1,,71
06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,2017/12/11,980,3,,802
02_指名関連,PC,Listing,Yahoo!,,,2017/12/11,3593,12,,3725
00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,2017/12/11,625,1,,423
03_口座開設一般,PC,Listing,Yahoo!,,,2017/12/11,67,1,,418
03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,2017/12/11,26,0,,3
03_口座開設一般,PC,AT,GDN,-,-,2017/12/11,10671,6,,599
03_口座開設一般,PC,Listing,Yahoo!,-,-,2017/12/11,6423,36,,11656
00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,2017/12/11,395,0,,248
00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,2017/12/11,151,1,,104
06_外貨預金,PC,RT,GDN,S3.口座開設詳細離脱,-,2017/12/11,1066,0,,0
03_口座開設一般,SP,AT,GDN,-,-,2017/12/11,6202,14,,1046
00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,2017/12/11,60,0,,0
00_手数料無料,PC,RT,GDN,S3.口座開設詳細離脱,-,2017/12/11,749,3,,388
03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,2017/12/11,32,0,,4
00_手数料無料,SP,RT,GDN,S3.口座開設詳細離脱,-,2017/12/11,1314,1,,196
06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,2017/12/11,633,2,,485
06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,2017/12/11,985,4,,742
00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,2017/12/11,818,0,,488
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,2017/12/11,384,0,,0
03_口座開設一般,SP,Listing,Yahoo!,-,-,2017/12/11,5553,44,,14048
06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,2017/12/11,121,0,,122
03_口座開設一般,SP,Listing,Yahoo!,,,2017/12/11,123,1,,331
01_指名,SP,Listing,Y!PSD,-,-,2017/12/11,271,2,,8064
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,2017/12/11,41,0,,0
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/11,47,0,,0
01_指名,PC,Listing,Y!PSD,-,-,2017/12/11,683,14,,8064
04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/11,65,0,,0
04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,2017/12/11,978,0,,0
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/11,612,0,,0
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,2017/12/11,249,1,,118
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/11,77,0,,0
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,2017/12/11,40,0,,0
00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,2017/12/11,135,0,,104
00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,31日～90日,2017/12/11,428,0,,0
00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,2017/12/11,696,0,,614
06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,2017/12/11,418,2,,381
06_外貨預金,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,2017/12/11,598,3,,450
03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,2017/12/11,18,0,,0
03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,2017/12/11,157,0,,0
04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,2017/12/11,877,1,,110
00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,31日～90日,2017/12/11,243,2,,700
03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,2017/12/11,68,0,,0
03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,2017/12/11,50,0,,0
03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,2017/12/11,239,0,,65
04_海外での利用,PC,AT,GDN,-,-,2017/12/11,26434,21,,2105
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,2017/12/11,117,0,,0
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,2017/12/11,63,0,,0
